X,Y,Z,name,temp,err
326.0,2601.0,3310.0,APA2LAr3,87.61697423368025,0.0006582887373679058
325.0,6156.0,3307.0,APA2LAr1,87.61925294765838,0.0010608589571621525
326.0,1189.0,2917.0,APA2LAr4,87.63979889038245,0.005894784958038692
326.0,4500.0,2919.0,APA2LAr2,87.61683820507855,0.0010484074629213947
330.0,1123.0,5497.0,APA1F2,87.64173206751109,0.0017009237251007488
326.0,6152.0,5647.0,APA1LAr1,87.62009845828953,0.0015919742601799255
326.0,1186.0,5254.0,APA1LAr4,87.62401977963046,0.002598322582946059
364.0,6179.0,5497.0,APA1F1,87.62529256087856,0.0019240319480157927
7491.0,1115.0,5256.0,APA3LAr1,87.61370473399154,0.0010354692891743668
7498.0,4666.0,5256.0,APA3LAr3,87.6110241948563,0.001959932120269932
7493.0,2524.0,5642.0,APA3LAr2,87.61671465724436,0.001102884939827057
7493.0,6069.0,5641.0,APA3LAr4,87.60988225095275,0.003031276631090096
7491.0,6138.0,3109.0,APA4F2,87.61444738658072,0.0008064565217641759
7491.0,1114.0,2922.0,APA4LAr1,87.61635320023736,0.0018118917447084483
7491.0,6073.0,3308.0,APA4LAr4,87.61099377575808,0.002310501584921253
7492.0,1107.0,3165.0,APA4F1,87.62605461645464,0.0027039179813123726
1514.0,7385.0,861.0,TGRAD1,87.6054011856602,0.006707715467318625
1514.0,7267.0,861.0,TGRAD2,87.60305038608621,0.005014137425266235
1514.0,7149.0,861.0,TGRAD3,87.60334540963936,0.002464643218452252
1514.0,7031.0,861.0,TGRAD4,87.60452616927086,0.0024190065896982672
1514.0,6913.0,861.0,TGRAD5,87.60666650843048,0.002417332539718555
1514.0,6795.0,861.0,TGRAD6,87.60735267304202,0.0021769148709968656
1514.0,6677.0,861.0,TGRAD7,87.60929809542131,0.0022014753432275783
1514.0,6559.0,861.0,TGRAD8,87.61208178979862,0.0019110651993885473
1514.0,6441.0,861.0,TGRAD9,87.6143215363234,0.0010957804857866596
1514.0,6323.0,861.0,TGRAD10,87.61430542042089,0.0016624239707930945
1514.0,6205.0,861.0,TGRAD11,87.61461504736312,0.0019259223737180583
1514.0,6087.0,861.0,TGRAD12,87.6151210120895,0.0015442996583091633
1514.0,5969.0,861.0,TGRAD13,87.61509718718833,0.0012905536619071262
1514.0,5851.0,861.0,TGRAD14,87.61574147954313,0.0010801338054244323
1514.0,5733.0,861.0,TGRAD15,87.61700079621596,0.0011430741973490143
1514.0,5615.0,861.0,TGRAD16,87.61621567544367,0.001021043875020577
1514.0,5497.0,861.0,TGRAD17,87.61577860099604,0.0013353384849939154
1514.0,5379.0,861.0,TGRAD18,87.61446976157569,0.0013844876085937366
1514.0,5143.0,861.0,TGRAD19,87.61501474057076,0.0013398057930601047
1514.0,4907.0,861.0,TGRAD20,87.61528077632151,0.0019981617003338743
1514.0,4671.0,861.0,TGRAD21,87.61494929638755,0.0019020898397112292
1514.0,4435.0,861.0,TGRAD22,87.61371230426933,0.0018622135401723879
1514.0,4199.0,861.0,TGRAD23,87.61191587616133,0.0020293818458121922
1514.0,3963.0,861.0,TGRAD24,87.61118059336818,0.0027346608111593145
1514.0,3727.0,861.0,TGRAD25,87.61329027411026,0.002723733747497031
1514.0,3491.0,861.0,TGRAD26,87.61316263053416,0.0020033940009930628
1514.0,3255.0,861.0,TGRAD27,87.6131850868428,0.0023602667402870493
1514.0,3019.0,861.0,TGRAD28,87.6135356760993,0.002047514697220639
1514.0,2783.0,861.0,TGRAD29,87.61409211886925,0.0020192135987679464
1514.0,2547.0,861.0,TGRAD30,87.61527582278958,0.0023492653526992003
1514.0,2311.0,861.0,TGRAD31,87.61362169123115,0.001725654645813417
1514.0,2193.0,861.0,TGRAD32,87.61328118595146,0.0015371573196272866
1514.0,2075.0,861.0,TGRAD33,87.6129072735503,0.00158128864073887
1514.0,1957.0,861.0,TGRAD34,87.61270047016576,0.0019440619751188585
1514.0,1839.0,861.0,TGRAD35,87.61288383585821,0.002399708920920167
1514.0,1721.0,861.0,TGRAD36,87.61274174513599,0.002475688151409726
1514.0,1603.0,861.0,TGRAD37,87.61230184872069,0.0023854104430498986
1514.0,1485.0,861.0,TGRAD38,87.61138528529474,0.002286892589159002
1514.0,1367.0,861.0,TGRAD39,87.61127007713458,0.0018589374605441182
1514.0,1249.0,861.0,TGRAD40,87.61068612461847,0.002028537987294096
1514.0,1131.0,861.0,TGRAD41,87.61047113406809,0.002229883863809146
1514.0,1013.0,861.0,TGRAD42,87.61015590349196,0.0017497747978808486
1514.0,895.0,861.0,TGRAD43,87.6090674977124,0.0013025036034566412
1514.0,777.0,861.0,TGRAD44,87.60859682917294,0.0013042716340176945
1514.0,659.0,861.0,TGRAD45,87.607932720693,0.001062090535914286
1514.0,541.0,861.0,TGRAD46,87.60755312811102,0.0010417698790833472
1514.0,423.0,861.0,TGRAD47,87.6078059240599,0.0009177990786023811
1514.0,305.0,861.0,TGRAD48,87.60700495821592,0.0010639853368186183
7855.0,643.0,6258.0,HAWAI1,,
7855.0,571.0,6258.0,HAWAI2,87.60940090766594,0.0013641062209468042
7855.0,470.0,7855.0,HAWAI3,87.60963457690822,0.001180684661919055
7855.0,368.0,6258.0,HAWAI4,87.60980964339086,0.0012883620049919764
7855.0,267.0,6258.0,HAWAI5,87.6110292546788,0.001321803447208934
7855.0,165.0,6258.0,HAWAI6,87.6126850584973,0.0016079189927125008
7855.0,3619.0,6258.0,HAWAI7,87.61485958074158,0.0007572331355502089
7855.0,3111.0,6258.0,HAWAI8,87.61346124206955,0.0014805651517055196
7855.0,2603.0,6258.0,HAWAI9,87.6119410765161,0.0028429541292027435
7855.0,2095.0,6258.0,HAWAI10,87.6100193460037,0.0024047836708309313
7855.0,1587.0,6258.0,HAWAI11,87.612874193067,0.0016972635760251007
7855.0,1079.0,6258.0,HAWAI12,87.61210805141585,0.001731729944580967
7855.0,6667.0,6258.0,HAWAI13,87.60391541858786,0.003442012566836465
7855.0,6159.0,6258.0,HAWAI14,87.60622773847815,0.002632375222800759
7855.0,5651.0,6258.0,HAWAI15,87.61271415943207,0.00143618892489987
7855.0,5143.0,6258.0,HAWAI16,87.6146598253201,0.0011280323225829599
7855.0,4635.0,6258.0,HAWAI17,87.61483267828035,0.0014813156406876299
7855.0,4127.0,6258.0,HAWAI18,87.61461844225806,0.0010927224783390062
7855.0,7700.0,6258.0,HAWAI19,,
7855.0,7582.0,6258.0,HAWAI20,,
7855.0,7480.0,6258.0,HAWAI21,,
7855.0,7379.0,6258.0,HAWAI22,87.60265653136645,0.0023675016532817145
7855.0,7277.0,6258.0,HAWAI23,87.60114455844574,0.0015291988068725135
7855.0,7175.0,6258.0,HAWAI24,87.60068446980081,0.0017760663793267763
7858.0,1700.0,6987.0,PRM-1,87.60820844116063,0.0015644720047600018
7858.0,2206.0,6987.0,PRM-2,87.60699465820093,0.0019334688651139406
7858.0,3600.0,6987.0,PRM-3,87.61051453323529,0.0013777263155456646
7858.0,4537.0,6987.0,PRM-4,87.6101885077014,0.0017727992272842975
7858.0,5500.0,6987.0,PRM-5,87.60753300406287,0.002401474802764034
